Data,Ora,Data Valore,Prodotto,ISIN,Descrizione,Borsa,Variazioni,,Saldo,,ID Ordine
20-02-2024,16:02,20-02-2024,ADR ON AMBOW EDUCATION HOLDING LTD,US02322P2002,DELISTING: Vendita 1 ADR on Ambow Education Holding Ltd@0 USD (US02322P2002),,USD,0.00,USD,0.00,
20-02-2024,13:57,20-02-2024,ADR ON AMBOW EDUCATION,US02322P3091,FRAZIONAMENTO AZIONARIO: Acquisto 7 ADR on Ambow Education@3 USD (US02322P3091),,USD,-21.00,USD,0.00,
20-02-2024,13:57,20-02-2024,ADR ON AMBOW EDUCATION HOLDING LTD,US02322P2002,"FRAZIONAMENTO AZIONARIO: Vendita 70 ADR on Ambow Education Holding Ltd@0,3 USD (US02322P2002)",,USD,21.00,USD,21.00,
19-02-2024,17:45,19-02-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,55 EUR",,,,EUR,904.87,
19-02-2024,17:45,19-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.55,EUR,903.32,
17-02-2024,08:01,16-02-2024,,,Credito FX,,EUR,1.55,EUR,904.87,
17-02-2024,08:01,16-02-2024,,,Prelievo FX,1.0804,USD,-1.67,USD,0.00,
16-02-2024,17:15,16-02-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,19 EUR",,,,EUR,903.32,
16-02-2024,17:15,16-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.19,EUR,903.13,
16-02-2024,07:41,15-02-2024,,,Credito FX,,EUR,0.19,EUR,903.32,
16-02-2024,07:41,15-02-2024,,,Prelievo FX,1.0798,USD,-0.20,USD,1.67,
16-02-2024,07:40,15-02-2024,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.12,USD,1.87,
16-02-2024,07:40,15-02-2024,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,1.99,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Ritenuta sul dividendo,,USD,-0.18,USD,1.22,
16-02-2024,07:32,15-02-2024,APPLE INC. - COMMON ST,US0378331005,Dividendo,,USD,1.20,USD,1.40,
15-02-2024,07:24,14-02-2024,NAVIOS MARITIME PARTNERS LP COMMON,MHY622674098,Dividendo,,USD,0.20,USD,0.20,
05-02-2024,22:51,05-02-2024,,,"Trasferisci dal tuo conto deposito presso flatexDEGIRO Bank: 2,8 EUR",,,,EUR,903.13,
05-02-2024,22:51,05-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,2.80,EUR,905.93,
05-02-2024,07:18,31-01-2024,,,DEGIRO Costi di connessione 2024 (TSX Venture Exchange - TSV),,EUR,-2.50,EUR,903.13,
05-02-2024,07:18,31-01-2024,,,DEGIRO Costi di connessione 2024 (New York Stock Exchange - NSY),,EUR,-2.50,EUR,905.63,
05-02-2024,07:18,31-01-2024,,,DEGIRO Costi di connessione 2024 (Nasdaq - NDQ),,EUR,-2.50,EUR,908.13,
05-02-2024,07:18,31-01-2024,,,DEGIRO Costi di connessione 2024 (NYSE American - ASE),,EUR,-2.50,EUR,910.63,
03-02-2024,07:38,02-02-2024,,,Credito FX,,EUR,7.20,EUR,913.13,
03-02-2024,07:38,02-02-2024,,,Prelievo FX,1.0816,USD,-7.79,USD,0.00,
02-02-2024,17:00,02-02-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,15 EUR",,,,EUR,905.93,
02-02-2024,17:00,02-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.15,EUR,905.78,
02-02-2024,07:59,01-02-2024,AT&T INC.,US00206R1023,Dividendo,,USD,9.16,USD,7.79,
02-02-2024,07:59,01-02-2024,AT&T INC.,US00206R1023,Ritenuta sul dividendo,,USD,-1.37,USD,-1.37,
02-02-2024,07:04,01-02-2024,,,Credito FX,,EUR,0.15,EUR,905.93,
02-02-2024,07:04,01-02-2024,,,Prelievo FX,1.0899,USD,-0.16,USD,0.00,
01-02-2024,07:13,31-01-2024,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.19,USD,0.16,
01-02-2024,07:13,31-01-2024,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,-0.03,
30-01-2024,16:45,30-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,13 EUR",,,,EUR,905.78,
30-01-2024,16:45,30-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.13,EUR,902.65,
30-01-2024,07:36,29-01-2024,,,Credito FX,,EUR,3.13,EUR,905.78,
30-01-2024,07:36,29-01-2024,,,Prelievo FX,1.0860,USD,-3.40,USD,0.00,
29-01-2024,07:17,26-01-2024,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,4.00,USD,3.40,
29-01-2024,07:17,26-01-2024,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.60,USD,-0.60,
25-01-2024,17:45,25-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,32 EUR",,,,EUR,902.65,
25-01-2024,17:45,25-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.32,EUR,902.33,
25-01-2024,07:14,24-01-2024,ENEL .,IT0003128367,Dividendo,,EUR,0.43,EUR,902.65,
25-01-2024,07:14,24-01-2024,ENEL .,IT0003128367,Ritenuta sul dividendo,,EUR,-0.11,EUR,902.22,
18-01-2024,16:30,18-01-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,18 EUR",,,,EUR,902.33,
18-01-2024,16:30,18-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.18,EUR,902.15,
18-01-2024,07:31,17-01-2024,,,Credito FX,,EUR,0.18,EUR,902.33,
18-01-2024,07:31,17-01-2024,,,Prelievo FX,1.4712,CAD,-0.27,CAD,0.00,
17-01-2024,07:29,16-01-2024,OSISKO GOLD ROYALTIES,CA68827L1013,Dividendo,,CAD,0.36,CAD,0.27,
